Disease,Specialist
Drug Reaction,Allergist
Malaria,Internal Medicine
Allergy,Allergist
Hypothyroidism,Endocrinologist
Psoriasis,Dermatologist
GERD,Gastroenterologist
Chronic Cholestasis,Hepatologist
Hepatitis A,Hepatologist
Osteoarthristis,Rheumatologist
Paroymsal Positional Vertigo,Otolaryngologist
Hypoglycemia,Endocrinologist
Acne,Dermatologist
Diabetes,Endocrinologist
Impetigo,Dermatologist
Hypertension,Cardiologist
Peptic Ulcer Disease,Gastroenterologist
Dimorphic Hemorrhoids (Piles),Phlebologist
Common Cold,Internist
Chickenpox,Pediatrician
Cervical Spondylosis,Orthopedic Surgeon
Hyperthyroidism,Endocrinologist
Urinary Tract Infection,Urologist
Varicose Veins,Phlebologist
AIDS,Infectious Disease Specialist
Paralysis (Brain Hemorrhage),Neurologist
Typhoid,Infectious Disease Specialist
Hepatitis B,Hepatologist
Fungal Infection,Dermatologist
Hepatitis C,Hepatologist
Migraine,Neurologist
Bronchial Asthma,Pulmonologist
Alcoholic Hepatitis,Hepatologist
Jaundice,Hepatologist
Hepatitis E,Hepatologist
Dengue,Infectious Disease Specialist
Hepatitis D,Hepatologist
Heart Attack,Cardiologist
Pneumonia,Pulmonologist
Arthritis,Rheumatologist
Gastroenteritis,Gastroenterologist
Tuberculosis,Pulmonologist
